title,description,link,provider,ranking,provider_category,time_required,subtitles,skill,rating,category,subcategory,level,subscribers
Protecting Business Innovations via Strategy,Protecting Business Innovations Via Strategy,https://www.coursera.org/learn/protect-business-innovations-strategy,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 11 hours to complete,Subtitles: English,"['New Business Development', 'International Business Strategy', 'Business Strategy', 'Intellectual Property']",4.7stars,Business,Business Strategy,Beginner Level,3719
Protecting Business Innovations via Trademark,Protecting Business Innovations Via Trademark,https://www.coursera.org/learn/protect-business-innovations-trademark,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 9 hours to complete,"Subtitles: English, Chinese (Simplified)",,4.8stars,Business,Business Strategy,Beginner Level,4838
Python and Statistics for Financial Analysis,Course Overview: https://youtu.be/JgFV5qzAYno,https://www.coursera.org/learn/python-statistics-financial-analysis,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 13 hours to complete,"Subtitles: English, Japanese","['Statistical Analysis', 'Financial Analysis', 'Financial Data Analysis', 'Python Programming', 'Data Visualization (DataViz)']",4.4stars,Business,Finance,Intermediate Level,108513
"Server-side Development with NodeJS, Express and MongoDB","This course deals with all things server-side. We base the entire course around the NodeJS platform. We start with a brief overview of the Web protocols: HTTP and HTTPS. We examine NodeJS and NodeJS modules: Express for building web servers. On the database side, we review basic CRUD operations, NoSQL databases, in particular MongoDB and Mongoose for accessing MongoDB from NodeJS. We examine the REST concepts and building a RESTful API. We touch upon authentication and security. Finally we review backend as a service (BaaS) approaches, including mobile BaaS, both open-source and commercial BaaS services.",https://www.coursera.org/learn/server-side-nodejs,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 48 hours to complete,Subtitles: English,"['Authentication', 'Node.Js', 'Mongodb', 'Express.Js']",4.7stars,Computer Science,Mobile and Web Development,Intermediate Level,116582
Social Science Approaches to the Study of Chinese Society Part 1,"This course seeks to turn learners into informed consumers of social science research. It introduces concepts, standards, and principles of social science research to the interested non-expert. Learners who complete the course will be able to assess evidence and critically evaluate claims about important social phenomena. It reviews the origins and development of social science, describes the process of discovery in contemporary social science research, and explains how contemporary social science differs from apparently related fields. It describes the goals, basic paradigms, and methodologies of the major social science disciplines. It offers an overview of the major questions that are the focus of much contemporary social science research, overall and for China. Special emphasis is given to explaining the challenges that social scientists face in drawing conclusions about cause and effect from their studies, and offers an overview of the approaches that are used to overcome these challenges. Explanation is non-technical and does not involve mathematics. Statistics and quantitative methods are not covered.",https://www.coursera.org/learn/social-science-study-chinese-society,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 13 hours to complete,Subtitles: English,,4.6stars,Social Sciences,Education,Beginner Level,3559
Social Science Approaches to the Study of Chinese Society Part 2,"This course is intended as a first step for learners who seek to become producers of social science research. It is organized as an introduction to the design and execution of a research study. It introduces the key elements of a proposal for a research study, and explains the role of each. It reviews the major types of qualitative and quantitative data used in social science research, and then introduces some of the most important sources of existing data available freely or by application, worldwide and for China. The course offers an overview of basic principles in the design of surveys, including a brief introduction to sampling. Basic techniques for quantitative analysis are also introduced, along with a review of common challenges that arise in the interpretation of results. Professional and ethical issues that often arise in the conduct of research are also discussed.  The course concludes with an introduction to the options for further study available to the interested student, and an overview of the key steps involved in selecting postgraduate programs and applying for admission. Learners who complete the course will be able to make an informed decision about whether to pursue advanced studies, and should be adequately prepared to write an application for postgraduate study that exhibits basic understanding of key aspects of social science research paradigms and methodologies.",https://www.coursera.org/learn/social-science-research-chinese-society,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 15 hours to complete,Subtitles: English,,,Social Sciences,Education,Beginner Level,1707
The Science of Gastronomy,"This course introduces a number of basic scientific principles underpinning the methodology of cooking, food preparation and the enjoyment of food. All topics covered have a strong basis in biology, chemistry, and physics application. Among others, they include the consumption of cooked food, the physiological and evolutionary implication of the senses, geographic and cultural influences on food, and the rationale behind food preparation. We will also discuss issues such as coupling of senses to improve sense stimulation; altering flavor by chemical means; and modification of the coloration to improve the appearance of dishes. Following the video demonstrations of the scientific principles of cooking, you will learn to recognize the key ingredients and their combinations for preparing good healthy food. At the end of this course, you will be able to:",https://www.coursera.org/learn/gastronomy,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 24 hours to complete,"Subtitles: English, Chinese (Traditional), Chinese (Simplified)","['Nutrition', 'Chemistry', 'Food Science', 'Cooking']",4.6stars,Health,Basic Science,,76572
"Understanding China, 1700-2000: A Data Analytic Approach, Part 1","The purpose of this course is to summarize new directions in Chinese history and social science produced by the creation and analysis of big historical datasets based on newly opened Chinese archival holdings, and to organize this knowledge in a framework that encourages learning about China in comparative perspective.",https://www.coursera.org/learn/understanding-china-history-part-1,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 8 hours to complete,Subtitles: English,,4.6stars,Data Science,Data Analysis,,8093
"Understanding China, 1700-2000: A Data Analytic Approach, Part 2","The purpose of this course is to summarize new directions in Chinese history and social science produced by the creation and analysis of big historical datasets based on newly opened Chinese archival holdings, and to organize this knowledge in a framework that encourages learning about China in comparative perspective.",https://www.coursera.org/learn/understanding-china-history-part-2,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 6 hours to complete,Subtitles: English,,,Data Science,Data Analysis,,3581
Vector Calculus for Engineers,"Vector Calculus for Engineers covers both basic theory and applications. In the first week we learn about scalar and vector fields, in the second week about differentiating fields, in the third week about multidimensional integration and curvilinear coordinate systems.  The fourth week covers line and surface integrals,  and the fifth week covers the fundamental theorems of vector calculus, including the gradient theorem, the divergence theorem and Stokes’ theorem.  These theorems are needed in core engineering subjects such as Electromagnetism and Fluid Mechanics.",https://www.coursera.org/learn/vector-calculus-engineers,The Hong Kong University of Science and Technology,27,QS 100 University,Approx. 22 hours to complete,Subtitles: English,"['Multivariable Calculus', 'Engineering Mathematics', 'Calculus Three']",4.8stars,Math and Logic,Math and Logic,Beginner Level,26767
Linux Tools for Developers,"Course 3 is a continuation of the previous course, and will focus on teaching you how to work with tools you need to do your everyday work. The course begins by introducing you to numerous essential command line tools that are used daily. Then, it focuses on bash scripting - you will learn how to construct scripts and how to do very complicated tasks in an automated way. The course looks at files and filesystems and focuses on compiling programs in Linux, using gcc and other compilers, and using libraries of different types. It also takes a look at how Java works in Linux, and explains why there is no reason to worry about having easy-to-use Java programs in Linux. Course 3 ends by covering building packages out of software in Linux.",https://www.coursera.org/learn/linux-tools-for-developers,The Linux Foundation,1500,Company,Approx. 16 hours to complete,Subtitles: English,,4.6stars,Computer Science,Software Development,Beginner Level,14767
Linux for Developers,"In course 1 we talked about open source software and the motivation and methods of using it. In course 2, we will introduce you to Linux systems, and help you feel comfortable working at the command line:",https://www.coursera.org/learn/linux-for-developers,The Linux Foundation,1500,Company,Approx. 19 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.5stars,Computer Science,Software Development,Beginner Level,29894
Open Source Software Development Methods,"In this course, we will define what open source software is, we will go over the history of open source software and what benefits it has provided to the world’s technology infrastructure over the decades. The course aims to teach you how to work in open source projects productively and gain a lot of benefits from it, and really understand what the advantages are. You will learn about collaboration best practices, and how to encourage diversity in open source projects. We will discuss the different licensing models that are available, as this will help you decide what the best license is for your project. We will talk about methods that are commonly used, such as Continuous Integration, and use of GitHub and other hosting providers as a central meeting place for open source projects, and we will provide some examples of successful open source projects.",https://www.coursera.org/learn/open-source-software-development-methods,The Linux Foundation,1500,Company,Approx. 6 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.6stars,Computer Science,Software Development,Beginner Level,36072
Using Git for Distributed Development,"Course 4 focuses on using git for open source software distributed development. Git is a revision control system which arose out of the Linux kernel development community. Git was designed to help developers spread across the globe working on complicated projects coordinate their work in a rational way and keep track of everything they were doing. Overtime, Git has grown to be used by millions of projects today. This course gives you the opportunity to learn how to use git efficiently and make contributions in a relatively short amount of time. It will cover:",https://www.coursera.org/learn/git-distributed-development,The Linux Foundation,1500,Company,Approx. 22 hours to complete,Subtitles: English,,,Computer Science,Software Development,Beginner Level,10632
Art & Activity: Interactive Strategies for Engaging with Art,"Art can be a powerful catalyst for building skills and understanding a range of subjects. Intended for primary and secondary teachers of all disciplines, Art & Activity builds upon the inquiry-based approaches of Art and Inquiry: Museum Teaching Strategies for Your Classroom, while delving into activity-based strategies that will make your students empowered participants.",https://www.coursera.org/learn/art-activity,The Museum of Modern Art,1500,Company,Approx. 9 hours to complete,"Subtitles: French, Greek, Dutch, Russian, English, Spanish",,,Arts and Humanities,Music and Art,,95295
Art & Ideas: Teaching with Themes,"This course is designed to help build critical skills that support theme-based teaching practices and build confidence in  incorporating modern and contemporary art into interdisciplinary lesson plans.  By addressing themes and questions that arise in relation to modern and contemporary art, the course will help you to think creatively about links to your curriculum and the ways that you can tap into students’ knowledge and life experience.",https://www.coursera.org/learn/ideas,The Museum of Modern Art,1500,Company,Approx. 12 hours to complete,"Subtitles: French, Italian, German, Russian, English, Spanish",,,Arts and Humanities,Music and Art,,42990
Art & Inquiry: Museum Teaching Strategies For Your Classroom,Explore how to integrate works of art into your classroom with inquiry-based teaching methods originally developed for in-gallery museum education.,https://www.coursera.org/learn/artinquiry,The Museum of Modern Art,1500,Company,Approx. 9 hours to complete,Subtitles: English,,,Social Sciences,Education,,31226
Fashion as Design,"Among all objects of design, our clothes are the most universal and intimate. Like other kinds of design, fashion thrives on productive tensions between form and function, automation and craftsmanship, standardization and customization, universality and self-expression, and pragmatism and utopian vision. It exists in the service of others, and it can have profound consequences—social, political, cultural, economic, and environmental.",https://www.coursera.org/learn/fashion-design,The Museum of Modern Art,1500,Company,Approx. 19 hours to complete,Subtitles: English,"['Art History', 'Art', 'History', 'Creativity']",,Arts and Humanities,Music and Art,Beginner Level,242188
