title,description,link,provider,ranking,provider_category,time_required,subtitles,skill,rating,category,subcategory,level,subscribers
Access Controls,Welcome to Access Controls!,https://www.coursera.org/learn/access-control-sscp,(ISC)²,1500,Company,Approx. 15 hours to complete,Subtitles: English,,4.6stars,Information Technology,Security,Beginner Level,5966
Cryptography,Welcome to Cryptography!,https://www.coursera.org/learn/cryptography-sscp,(ISC)²,1500,Company,Approx. 14 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2884
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery","Risk Identification, Monitoring, and Analysis: In the Risk Identification, Monitoring, and Analysis session, you will learn how to identify, measure, and control losses associated with adverse events. You will review, analyze, select, and evaluate safeguards for mitigating risk.You will learn processes for collecting information, providing methods of identifying security events, assigning priority levels, taking the appropriate actions, and reporting the findings to the correct individuals. After collection of the details from monitoring, we can analyze to determine if the system is being operated in accordance with accepted industry practices, and in compliance with organization policies and procedures.",https://www.coursera.org/learn/incident-response-recovery-risks-sscp,(ISC)²,1500,Company,Approx. 23 hours to complete,Subtitles: English,,4.9stars,Information Technology,Security,Beginner Level,3611
Networks and Communications Security,Welcome to Networks and Communications Security Course!,https://www.coursera.org/learn/network-security-communications-sscp,(ISC)²,1500,Company,Approx. 20 hours to complete,Subtitles: English,,,Information Technology,Security,Beginner Level,3544
Security Awareness Training,The security of an organization is of the utmost importance and every member of the organization's staff plays a vital role in defending against cyber threats. One of the best ways to protect the organization is to institute a company-wide security-awareness training initiative.,https://www.coursera.org/learn/security-awareness-training,(ISC)²,1500,Company,Approx. 2 hours to complete,Subtitles: English,"['Data Security', 'Password', 'Network Security', 'Malware', 'Cybersecurity']",4.6stars,Information Technology,Security,Beginner Level,8779
Security Operations and Administration,"Security operations and administration is the task of identifying an organization's information assets and the documentation needed for policy implementation, standards, procedures, and guidelines to ensure confidentiality, integrity, and availability. You will understand the process necessary for working with management and information owners, custodians, and users so that proper data classifications are defined. This will ensure the proper handling of all hard copy and electronic information.",https://www.coursera.org/learn/security-operations-administration-sscp,(ISC)²,1500,Company,Approx. 16 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2841
Systems and Application Security,Welcome to Systems and Application Security Course!,https://www.coursera.org/learn/systems-application-security-sscp,(ISC)²,1500,Company,Approx. 17 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2135
Acing the Product Management Interview,"Sponsored by AMAZON WEB SERVICES (AWS). Apply your PM knowledge by answering real PM interview questions asked by Facebook, Microsoft, Google, and Amazon!",https://www.coursera.org/learn/acing-product-management-interviews,Advancing Women in Tech,1500,Company,Approx. 15 hours to complete,Subtitles: English,"['Estimation Interview', 'Data Analysis Interview', 'Strategy Interview', 'Behavioral Interview', 'Product Design Interview']",,Computer Science,Design and Product,Beginner Level,2644
The Art & Science of Product Management,"Sponsored by AMAZON WEB SERVICES (AWS). Learn how Amazon, Facebook, Google, and Twitch PMs and lead and collaborate with an interdisciplinary team of UX designers, software engineers, AI/ML engineers. Plus, practice real PM interview questions asked by Microsoft, Google, and Amazon!",https://www.coursera.org/learn/pms-leading-design-engineering-ai-ml,Advancing Women in Tech,1500,Company,Approx. 11 hours to complete,Subtitles: English,"['Lead Designers', 'Lead Engineers', 'Technical PM Interview', 'Technical Literacy', 'AI/ML']",,Computer Science,Design and Product,Beginner Level,2567
The Business of Product Management I,"Sponsored by AMAZON WEB SERVICES (AWS). Learn real-world PM lessons from Amazon, Intuit, Procter and Gamble, Barnes and Noble, Whole Foods, Google, Mint Mobile, Juicero, Twitter, Tesla, Dropbox, Eventbrite, Blue, Samson, Coffee Meets Bagel, Mixpanel, and more!",https://www.coursera.org/learn/the-business-of-product-management-one,Advancing Women in Tech,1500,Company,Approx. 15 hours to complete,Subtitles: English,"['Go-to-market Strategy', 'Product/Market Fit', 'Tech Leadership', 'B2B Sales', 'Product Management']",4.7stars,Business,Leadership and Management,Beginner Level,11475
Data for Machine Learning,This course is all about data and how it is critical to the success of your applied machine learning model. Completing this course will give learners the skills to:,https://www.coursera.org/learn/data-machine-learning,Alberta Machine Intelligence Institute,1500,Company,Approx. 12 hours to complete,Subtitles: English,"['Statistical Analysis', 'Machine Learning', 'Python Programming', 'Computer Programming', 'Linear Algebra']",4.3stars,Data Science,Machine Learning,Intermediate Level,6233
Introduction to Applied Machine Learning,"This course is for professionals who have heard the buzz around machine learning and want to apply machine learning to data analysis and automation. Whether finance, medicine, engineering, business or other domains, this course will introduce you to problem definition and data preparation in a machine learning project.",https://www.coursera.org/learn/machine-learning-applied,Alberta Machine Intelligence Institute,1500,Company,Approx. 7 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,,Data Science,Machine Learning,Intermediate Level,19244
Machine Learning Algorithms: Supervised Learning Tip to Tail,"This course takes you from understanding the fundamentals of a machine learning project. Learners will understand and implement supervised learning techniques on real case studies to analyze business case scenarios where decision trees, k-nearest neighbours and support vector machines are optimally used. Learners will also gain skills to contrast the practical consequences of different data preparation steps and describe common production issues in applied ML.",https://www.coursera.org/learn/machine-learning-classification-algorithms,Alberta Machine Intelligence Institute,1500,Company,Approx. 9 hours to complete,Subtitles: English,,4.7stars,Data Science,Machine Learning,,13059
Optimizing Machine Learning Performance,This course synthesizes everything your have learned in the applied machine learning specialization. You will now walk through a complete machine learning project to prepare a machine learning maintenance roadmap. You will understand and analyze how to deal with changing data. You will also be able to identify and interpret potential unintended effects in your project. You will understand and define procedures to operationalize and maintain your applied machine learning model. By the end of this course you will have all the tools and understanding you need to confidently roll out a machine learning project and prepare to optimize it in your business context.,https://www.coursera.org/learn/optimize-machine-learning-model-performance,Alberta Machine Intelligence Institute,1500,Company,Approx. 12 hours to complete,Subtitles: English,,,Data Science,Machine Learning,,5343
Cloud Computing Fundamentals on Alibaba Cloud,Course Description,https://www.coursera.org/learn/alibaba-cloud-computing,Alibaba Cloud Academy,63,Company,Approx. 13 hours to complete,Subtitles: English,"['Cloud Computing Security', 'database management', 'Object Storage', 'Cloud Computing']",4.7stars,Computer Science,Software Development,Beginner Level,3463
Protecting Cloud Architecture with Alibaba Cloud,Course Description,https://www.coursera.org/learn/alibaba-cloud-security-solutions,Alibaba Cloud Academy,63,Company,Approx. 12 hours to complete,Subtitles: English,,4.9stars,Computer Science,Software Development,Beginner Level,1605
AWS Computer Vision: Getting Started with GluonCV,"This course provides an overview of Computer Vision (CV), Machine Learning (ML) with Amazon Web Services (AWS), and how to build and train a CV model using the Apache MXNet and GluonCV toolkit. The course discusses artificial neural networks and other deep learning concepts, then walks through how to combine neural network building blocks into complete computer vision models and train them efficiently.",https://www.coursera.org/learn/aws-computer-vision-gluoncv,Amazon Web Services,3,Company,Approx. 29 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.6stars,Information Technology,Cloud Computing,Beginner Level,38890
AWS Fundamentals: Addressing Security Risk,Welcome to AWS Fundamentals: Addressing Security Risk!,https://www.coursera.org/learn/aws-fundamentals-addressing-security-risk,Amazon Web Services,3,Company,Approx. 5 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['aws', 'Information Privacy', 'Cloud Management', 'security', 'Cloud Applications']",,Information Technology,Cloud Computing,Beginner Level,52436
AWS Fundamentals: Building Serverless Applications,This course will introduce you to Amazon Web Services (AWS) serverless architecture. Through demonstrations and hands-on exercises you'll learn skills in building and deploying serverless solutions.,https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications,Amazon Web Services,3,Company,Approx. 10 hours to complete,"Subtitles: English, Korean","['AWS Lambda', 'Amazon Lex', 'Amazon API Gateway', 'serverless architecture', 'Amazon Dynamodb']",4.7stars,Information Technology,Cloud Computing,Beginner Level,77578
AWS Fundamentals: Migrating to the Cloud,"This four week course focuses on migrating workloads to AWS.  We will focus on ¬†analyzing your current environment,¬†planning your migration,¬†AWS services that are commonly used during your migration,¬†and the actual migration steps.",https://www.coursera.org/learn/aws-fundamentals-cloud-migration,Amazon Web Services,3,Company,Approx. 8 hours to complete,"Subtitles: English, Korean",,,Information Technology,Data Management,Intermediate Level,50518
AWS IoT: Developing and Deploying an Internet of Things,"There are billions of devices in homes, factories, oil wells, hospitals, cars, and thousands of other places. With the proliferation of devices, you increasingly need solutions to connect them, and collect, store, and analyze device data. AWS IoT provides broad and deep functionality, spanning the edge to the cloud, so you can build IoT solutions for virtually any use case across a wide range of devices.",https://www.coursera.org/learn/aws-iot-developing-and-deploying-an-internet-of-things,Amazon Web Services,3,Company,Approx. 6 hours to complete,Subtitles: English,"['Edge Computing', 'Mobile Device Management', 'Analytics', 'Business Intelligence', 'security']",,Information Technology,Cloud Computing,Intermediate Level,7607
Building Containerized Applications on AWS,"This course introduces you to container technologies and how they can be used to modernize your applications, as well as exploring how different AWS services can be used to manage and orchestrate those containers.",https://www.coursera.org/learn/containerized-apps-on-aws,Amazon Web Services,3,Company,Approx. 10 hours to complete,Subtitles: English,,,Information Technology,Cloud Computing,,17829
Building Modern Java Applications on AWS,"In modern cloud native application development, it‚Äôs oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS.",https://www.coursera.org/learn/building-modern-java-applications-on-aws,Amazon Web Services,3,Company,Approx. 22 hours to complete,Subtitles: English,"['Amazon Elastic Compute Cloud (Amazon EC2)', 'Apache Mesos', 'Autoscaling', 'Amazon Web Services (Amazon AWS)']",,Information Technology,Cloud Computing,Intermediate Level,7471
Building Modern Node.js Applications on AWS,"In modern cloud native application development, it‚Äôs oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS.",https://www.coursera.org/learn/building-modern-node-applications-on-aws,Amazon Web Services,3,Company,Approx. 22 hours to complete,Subtitles: English,,5.0stars,Information Technology,Cloud Computing,Intermediate Level,7198
Building Modern Python Applications on AWS,"In modern cloud native application development, it‚Äôs oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS.",https://www.coursera.org/learn/building-modern-python-applications-on-aws,Amazon Web Services,3,Company,Approx. 22 hours to complete,Subtitles: English,,4.2stars,Information Technology,Cloud Computing,Intermediate Level,69539
Getting Started with AWS Machine Learning,"Machine learning (ML) is one of the fastest growing areas in technology and a highly sought after skillset in today‚Äôs job market. The World Economic Forum states the growth of artificial intelligence (AI) could create 58 million net new jobs in the next few years, yet it‚Äôs estimated that currently there are 300,000 AI engineers worldwide, but millions are needed. This means there is a unique and immediate opportunity for you to get started with learning the essential ML concepts that are used to build AI applications ‚Äì no matter what your skill levels are. Learning the foundations of ML now, will help you keep pace with this growth, expand your skills and even help advance your career.",https://www.coursera.org/learn/aws-machine-learning,Amazon Web Services,3,Company,Approx. 8 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['Artificial Intelligence (AI)', 'Machine Learning', 'Amazon SageMaker', 'Natural Language Processing (NLP)', 'Computer Vision']",4.5stars,Data Science,Machine Learning,Intermediate Level,181225
Introduction to AWS Identity and Access Management,Security should be your first priority when developing cloud native applications.,https://www.coursera.org/learn/introduction-to-aws-identity-and-access-management,Amazon Web Services,3,Company,Approx. 11 hours to complete,Subtitles: English,,,Information Technology,Cloud Computing,Beginner Level,18387
Ecology: Ecosystem Dynamics and Conservation,"This course is an introduction to ecology and ecosystem dynamics using a systems thinking lens. Through a case study on Mozambique's Gorongosa National Park, learners will explore how scientists study ecosystems, and investigate the complex array of factors that inform management efforts. At the end of the course, learners will be able to grapple with real-world conservation questions, such as whether an ecosystem can recover from anthropogenic disruption and what role humans can, and should, play in that recovery.",https://www.coursera.org/learn/ecology-conservation,American Museum of Natural History,1500,Company,Approx. 9 hours to complete,"Subtitles: English, Spanish, Russian, French",,,Health,Basic Science,Intermediate Level,47224
Evolution: A Course for Educators,"How are all of the species living on Earth today related? How does understanding evolutionary science contribute to our well-being? In this course, participants will learn about evolutionary relationships, population genetics, and natural and artificial selection. Participants will explore evolutionary science and learn how to integrate it into their classrooms.",https://www.coursera.org/learn/teaching-evolution,American Museum of Natural History,1500,Company,Approx. 10 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish, Romanian",,4.7stars,Health,Basic Science,,24174
Genetics and Society: A Course for Educators,"How have advances in genetics affected society? What do we need to know to make ethical decisions about genetic technologies? This course includes the study of cloning, genetic enhancement, and ownership of genetic information. Course participants will acquire the tools to explore the ethics of modern genetics and learn how to integrate these issues into their classrooms.",https://www.coursera.org/learn/genetics-society,American Museum of Natural History,1500,Company,Approx. 8 hours to complete,Subtitles: English,,,Health,Basic Science,,13472
Our Earth's Future,"Our Earth‚Äôs Future is about the science of climate change and how to talk about it. You will learn from scientists in the fields of climatology, oceanography, Earth science, and anthropology who study how climate change is affecting people, populations, and ways of life. Explore the multiple lines of evidence for the human-induced climate change that is happening today, and consider what that means for the future of our planet. At the end of this course you will be able to understand key scientific principles, identify and address misconceptions, and contribute confidently to conversations about climate change.",https://www.coursera.org/learn/earth-climate-change,American Museum of Natural History,1500,Company,Approx. 8 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.7stars,Physical Science and Engineering,Environmental Science and Sustainability,,30590
The Dynamic Earth: A Course for Educators,"The AMNH course The Dynamic Earth: A Course for Educators provides students with an overview of the origin and evolution of the Earth. Informed by the recently released Next Generation Science Standards, this course examines geological time scales, radiometric dating, and how scientists ‚Äúread the rocks.‚Äù We will explore dramatic changes in the Earth over the last 4 billion years, including how the evolution of life on Earth has affected its atmosphere. In addition to looking at geology on a global scale, participants will take to their own backyards to explore and share their local geologic history. Course participants will bring their understanding of the dynamic Earth - along with content resources, discussion questions, and assignments - into their own teaching.",https://www.coursera.org/learn/earth-amnh,American Museum of Natural History,1500,Company,Approx. 8 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.7stars,Physical Science and Engineering,Environmental Science and Sustainability,,15128
The Science of Stem Cells,"What promise do stem cells hold for the treatment of medical conditions? In this five-part online course you will explore the history and basic biology of stem cells, learn about new research techniques, and find out how stem cells could lead to cures for diseases and to individualized medicine. You will hear from Museum scientists, medical researchers at the frontiers of the field, and a panel of bioethics experts who will address the ethical implications of stem cell research and therapy.  Learn what has already been accomplished, what challenges remain, and what medical breakthroughs may lie ahead.",https://www.coursera.org/learn/stem-cells,American Museum of Natural History,1500,Company,Approx. 10 hours to complete,"Subtitles: English, Spanish",,4.7stars,Health,Basic Science,Intermediate Level,31095
"Teach English Now! Second Language Reading, Writing, and Grammar",,https://www.coursera.org/learn/tesol-writing,Arizona State University,220,Other university,Approx. 20 hours to complete,"Subtitles: English, Spanish, Arabic",,4.9stars,Language Learning,Learning English,Beginner Level,71864
Assessing Achievement with the ELL in Mind,"In this course, you will learn how to design assessments around the needs of your ELL students and their language level.  You will learn how to incorporate language and content requirements for both formative and summative assessment types. You will learn to assess your ELL students through the use of project and task-based assignments.  You will learn to use and modify rubrics to align to and measure student achievement of your language and content learning objectives.  The course will also briefly cover strategies for supporting ELL students during standardized testing.",https://www.coursera.org/learn/ell-assessment,Arizona State University,220,Other university,Approx. 22 hours to complete,Subtitles: English,,,Social Sciences,Education,,4198
Business English: Final Project,"A common necessity among business professionals who are new to an international work environment is the ability to create a plan of action to launch a new product. In this task, one has to communicate with many different departments within a company including finance and marketing. In this capstone project, you will create a plan of action to launch a new product. This plan will include:",https://www.coursera.org/learn/english-for-business-project,Arizona State University,220,Other university,Approx. 32 hours to complete,Subtitles: English,,,Language Learning,Learning English,Intermediate Level,5995
Business English: Finance and Economics,"Do you work in finance or interact with finance professionals? Is it necessary to speak, write or understand English in your career? Follow the authentic characters in this course as they work through common business situations in finance and economics. Learn from your successes and failure, and think critically about your own communication options. After taking this course, you will be able to read and create efficient e-mails, reports, and impactful presentations with words and phrases commonly used in finance and economics. Communicate clearly under pressure utilizing recently learned strategies, and obtain immediate feedback about the efficiency of your business communication skills in English from other finance professionals around the world! Gain the English communication skills that you desire and that global managers expect.",https://www.coursera.org/learn/finance-economics-english,Arizona State University,220,Other university,Approx. 29 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish","['Win-Win Game', 'Business Communication', 'Finance', 'Leadership', 'Negotiation']",4.7stars,Language Learning,Learning English,Intermediate Level,30651
Business English: Management and Leadership,"Are you a business executive or a manager who uses English in your career? Then you know that good business communication in English requires focus, vocabulary, and specific linguistic structures. In this course, you will follow along a recently promoted manager as she builds and leads her team to success. Together, you will practice the language and styles of communication  needed in English for",https://www.coursera.org/learn/management-leadership-english,Arizona State University,220,Other university,Approx. 30 hours to complete,"Subtitles: English, Spanish, Arabic","['English Language', 'Writing', 'Management', 'Communication', 'Emailing', 'Meeting']",4.8stars,Language Learning,Learning English,Intermediate Level,55419
Business English: Marketing and Sales,"If you work in marketing, sales, or advertising, you already know that effective communication is a requirement. This can be even more difficult when expressing your ideas in a persuasive manner in English.  In this course, you will learn to use English more efficiently while joining successful global professionals around the world. Develop your skills along with authentic characters that work in marketing and also work hard to improve their communication skills. Learn from your successes and failures, reflect on your own style, strengths, and improvement areas. After taking this course, you will be able to:",https://www.coursera.org/learn/marketing-sales-english,Arizona State University,220,Other university,Approx. 31 hours to complete,"Subtitles: English, Arabic",,4.7stars,Language Learning,Learning English,Intermediate Level,37812
Engaging ELLs and Their Families in the School and Community,"In this course, you will learn how to better and more successfully engage your ELL(s) and their families in the school and community. You will learn how to engage your ELL student in the classroom setting as well as in various aspects of the school including extracurricular activities and the inner workings of the school and education system.  You will also be introduced to strategies for engaging the families of your ELL students in the school community and the wider community of your city and state.  You will interact with a variety of case studies that highlight teachers, schools, and communities in different cities throughout the United States and the ways in which they successfully engage ELLs and their families.  From sharing their experience, you will have the tools necessary to implement strategies and procedures for engaging your ELLs and their families.",https://www.coursera.org/learn/ell-families,Arizona State University,220,Other university,Approx. 19 hours to complete,Subtitles: English,,,Social Sciences,Education,,3074
Experimental Design Basics,"This is a basic course in designing experiments and analyzing the resulting data. The course objective is to learn how to plan, design and conduct experiments efficiently and effectively, and analyze the resulting data to obtain objective conclusions. Both design and statistical analysis issues are discussed. Opportunities to use the principles taught in the course arise in all aspects of today‚Äôs industrial and business environment. Applications from various fields will be illustrated throughout the course.  Computer software packages (JMP, Design-Expert, Minitab) will be used to implement the methods presented and will be illustrated extensively.",https://www.coursera.org/learn/introduction-experimental-design-basics,Arizona State University,220,Other university,Approx. 13 hours to complete,Subtitles: English,"['statistical Methods for Process and Product improvement', 'design of experiments', 'experiment design', 'designing experiments']",4.8stars,Data Science,Probability and Statistics,Intermediate Level,9392
Factorial and Fractional Factorial Designs,"Many experiments in engineering, science and business involve several factors.  This course is an introduction to these types of multifactor experiments.  The appropriate experimental strategy for these situations is based on the factorial design, a type of experiment where factors are varied together.  This course focuses on designing these types of experiments and on using the ANOVA for analyzing the resulting data.  These types of experiments often include nuisance factors, and  the blocking principle can be used in factorial designs to handle these situations.  As the number of factors of interest grows full factorials become too expensive and fractional versions of the factorial design are useful.  This course will  cover the benefits of fractional factorials, along with methods for constructing and analyzing the data from these experiments.",https://www.coursera.org/learn/factorial-fractional-factorial-designs,Arizona State University,220,Other university,Approx. 12 hours to complete,Subtitles: English,,,Data Science,Probability and Statistics,Intermediate Level,2891
Lesson Planning with the ELL in Mind,In this course you will learn how to design lesson plans around the needs of your ELL students and their language level through the analysis of content language and cognitive demands. You will learn how to align language objectives to the adopted standards of your school and content area. ¬†You will learn how to modify existing course materials as well as develop graphic organizers and languages frames to support ELLs‚Äô access to content. ¬†Analysis of second language acquisition theories will be applied to lesson planning.,https://www.coursera.org/learn/ell-lesson,Arizona State University,220,Other university,Approx. 17 hours to complete,Subtitles: English,,4.7stars,Social Sciences,Education,,9772
"Random Models, Nested and Split-plot Designs","Many experiments involve factors whose levels are chosen at random. A well-know situation is the study of measurement systems to determine their capability.  This course presents the design and analysis of these types of experiments, including modern methods for estimating the components of variability in these systems. The course also covers experiments with nested factors, and experiments with hard-to-change factors that require split-plot designs. We also provide an overview of designs for experiments with response distributions from nonnormal response distributions and experiments with covariates.",https://www.coursera.org/learn/random-models-nested-split-plot-designs,Arizona State University,220,Other university,Approx. 9 hours to complete,Subtitles: English,,,Data Science,Probability and Statistics,Intermediate Level,1862
"Response Surfaces, Mixtures, and Model Building","Factorial experiments are often used in factor screening.; that is, identify the subset of factors in a process or system that are of primary important to the response. Once the set of important factors are identified interest then usually turns to optimization; that is, what levels of the important factors produce the best values of the response.  This course provides design and optimization tools to answer that questions using the response surface framework.  Other related topics include design and analysis of computer experiments, experiments with mixtures, and experimental strategies to reduce the effect of uncontrollable factors on unwanted variability in the response.",https://www.coursera.org/learn/response-surfaces-mixtures-model-building,Arizona State University,220,Other university,Approx. 13 hours to complete,Subtitles: English,,,Data Science,Probability and Statistics,Intermediate Level,2199
Teach English Now! Capstone Project 1,"In the final Capstone Project, you will apply the skills you learned by observing teachers at work (a total of six hours of observation).  You will build on the concepts learned from the previous courses to analyze the lessons.  You will also submit your teaching philosophy, a five-day lesson plan, and a teaching tip. You will deliver a portion of your lesson, submitting a 6-10 minute video for peer review.  If you have completed Teach English Now! Part 1 and Teach English Now! Part 2, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate from ASU, in addition to your Coursera certificates.",https://www.coursera.org/learn/teaching-english-capstone,Arizona State University,220,Other university,Approx. 33 hours to complete,"Subtitles: English, Arabic",,4.9stars,Social Sciences,Education,,20008
Teach English Now! Capstone Project 2,"In the final Capstone Project, you will apply the skills you learned by doing practice teaching.  You will build on your assignments from the previous courses to refine your lesson plans and video-tape yourself presenting the lesson.  You will submit a total of ten videos.  If you have completed Teach English Now! Part 1 and Teach English Now! Part 2, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate from ASU, in addition to your Coursera certificates.",https://www.coursera.org/learn/teaching-english-capstone-2,Arizona State University,220,Other university,Approx. 19 hours to complete,"Subtitles: English, Arabic",,4.9stars,Language Learning,Learning English,Beginner Level,11668
Teach English Now! Foundational Principles,"Through a series of engaging metaphors and stories, prospective and current EFL/ESL teachers will identify, summarize, and evaluate 7 basic language learning paradigms.  Learners will be presented information on such foundational principles as motivation, risk taking, two different modes of learning, and balancing the teacher profession.  Learners are also given an understanding of basic techniques founded on those principles, such as teacher talk, looking ‚Äúridiculous‚Äù in order to lower the affective filter, and networking.   With these foundational principles in mind, ESL/EFL teachers will scrutinize common assumptions about language learning by comparing how they stack up to research-based core principles.",https://www.coursera.org/learn/english-principles,Arizona State University,220,Other university,Approx. 21 hours to complete,"Subtitles: Arabic, French, Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Russian, English, Spanish",,4.9stars,Social Sciences,Education,,147341
Teach English Now! Lesson Design and Assessment,"Learners will be introduced to designing lesson plans based on principles and knowledge of learning objectives, assessment plans, methods, materials, and learning activities. Learners will find and prepare appropriate teaching materials through careful analysis, adaptation and creation of professional resources. Learners will also reflect on the cohesion between lesson design and teaching philosophies.",https://www.coursera.org/learn/lesson-design,Arizona State University,220,Other university,Approx. 21 hours to complete,"Subtitles: English, Spanish, Persian, Tamil",,4.9stars,Social Sciences,Education,,50498
"Teach English Now! Second Language Listening, Speaking, and Pronunciation","In this course, you will be introduced to some of the challenges of teaching and learning listening and speaking, such as paralinguistics, performance variables, reduced and regional forms, and differing types of oral discourse. Don't worry--you'll learn what those mean, too!  Then you'll learn how to ease the acquisition of listening and speaking for your students. The course also highlights the powerful opportunity to include pronunciation in listening and speaking classes and offers strategies to incorporate pronunciation activities.",https://www.coursera.org/learn/tesol-speaking,Arizona State University,220,Other university,Approx. 19 hours to complete,"Subtitles: English, Spanish, Arabic","['Teaching', 'English Language', 'Lesson Plan', 'Speech']",,Language Learning,Learning English,Beginner Level,54058
Teach English Now! Teaching Language Online,"Whether you have already taught English as a Second Language and want to start teaching it online, you've already been teaching ESL online and want to sharpen your skills, or you are new to teaching and interested in teaching ESL online, ASU and VOXY provide you with the basic ideas and concepts you need to know in order to successfully teach ESL online. This course uses a fun and interesting theme of ""International Travel"" to deliver content in an entertaining way. There are also plenty of real, recorded online session videos from VOXY in the course to show you examples of what it looks like to teach ESL online. In this course, you will learn about the best practices for teaching English as a Second Language online. This includes an introduction to online teaching, Second Language Acquisition theories and how they apply to ESL learners, conducting a needs analysis, curating content for your courses, designing lesson plans, and effective teaching strategies that will help you to become an successful online ESL teacher. The course consists of a variety of videos and readings, followed by quizzes. In the last module of the course, actual VOXY online ESL teachers share their experiences in the online classroom.",https://www.coursera.org/learn/teachlanguageonline,Arizona State University,220,Other university,Approx. 12 hours to complete,"Subtitles: French, Portuguese (Brazilian), Russian, English, Spanish",,4.6stars,Language Learning,Learning English,Intermediate Level,35329
Teach English Now! Technology Enriched Teaching,"This course focuses on the key concepts you need in order to effectively integrate technology into your teaching, without letting it overshadow language learning. Discover current and future trends in educational technology, along with strategies for implementing these trends in the classroom and beyond. As technology is continually evolving, learn how to keep up on current technological applications through professional development networks and training opportunities.",https://www.coursera.org/learn/tesol-technology,Arizona State University,220,Other university,Approx. 19 hours to complete,"Subtitles: English, Spanish, Russian","['Teaching', 'English Language', 'Lesson Plan', 'Plan']",,Language Learning,Learning English,Beginner Level,30547
Teach English Now! Theories of Second Language Acquisition,"In this course learners are introduced to second or foreign language theories and practices for teaching and assessing listening, speaking, and pronunciation.  Learners will also be introduced to basic studies in second language acquisition and their pedagogical implications.  Teachers will be invited to recognize the importance of grounding their own teaching philosophy through an examination of purpose, content, and technique.",https://www.coursera.org/learn/language-theories,Arizona State University,220,Other university,Approx. 17 hours to complete,"Subtitles: English, Spanish",,4.9stars,Social Sciences,Education,,61697
The Science of Health Care Delivery,"The Mayo Clinic and Arizona State University Alliance for Health Care has developed innovative Science of Health Care Delivery training programs which introduce scientific approaches to quality improvement for patient care and population health, while also examining ways to reduce health costs. The full training, which explores key concepts in the Science of Health Care Delivery and why it is critically important to future patient care, can be used by health care professionals or as curriculum for aspiring care providers.",https://www.coursera.org/learn/science-healthcare-delivery,Arizona State University,220,Other university,Approx. 2 hours to complete,Subtitles: English,,4.6stars,Health,Healthcare Management,Beginner Level,6098
Blockchain Evolution and Technology Concepts,This specialization offers the latest developments in blockchain technology through a highly engaging learning experience with animated video components and intuitive course flow to maximize your knowledge retention.,https://www.coursera.org/learn/blockchain-evolution-and-technology-concepts,Association of International Certified Professional Accountants,1500,Company,Approx. 3 hours to complete,Subtitles: English,,4.8stars,Information Technology,Security,Beginner Level,2037
Making the Case for Robotic Process Automation,Overview,https://www.coursera.org/learn/robotic-process-automation,Association of International Certified Professional Accountants,1500,Company,Approx. 5 hours to complete,Subtitles: English,,4.1stars,Information Technology,Data Management,,5109
"Understanding, Using, and Securing Crypto and Digital Assets",This specialization offers the latest developments in blockchain technology through a highly engaging learning experience with animated video components and intuitive course flow to maximize your knowledge retention.,https://www.coursera.org/learn/blcf20b,Association of International Certified Professional Accountants,1500,Company,Approx. 3 hours to complete,Subtitles: English,,,Information Technology,Security,Beginner Level,1573
